planes,wind_degree
6,241
8,241
14,253
24,252
19,252
19,298
21,296
18,297
0,315
0,341
0,358
0,6
0,4
0,359
0,10
0,22
6,205
14,196
8,190
27,169
18,182
23,202
18,231
17,245
21,262
18,286
18,285
26,312
17,326
16,334
12,341
26,330
30,333
7,259
11,260
12,253
19,262
21,259
22,265
18,267
16,270
23,271
15,261
18,261
19,260
21,241
14,214
13,182
23,175
34,180
7,159
11,161
13,168
19,174
24,185
22,227
16,230
19,228
20,231
17,201
22,185
23,185
19,193
17,193
15,198
26,209
32,217
6,240
13,240
11,243
20,245
20,264
19,273
18,253
18,261
24,271
18,269
13,268
24,269
15,259
15,237
17,222
26,214
29,203
0,71
0,69
0,50
0,57
0,45
0,46
0,54
1,46
0,45
1,54
1,63
0,39
0,43
0,57
0,65
0,81
0,87
5,223
10,234
16,232
22,242
17,243
21,246
25,258
17,253
20,255
19,251
16,252
26,252
17,262
17,259
15,262
26,236
32,223
5,166
11,167
19,164
22,158
21,158
20,162
22,156
18,160
23,162
17,178
17,160
26,169
16,181
16,176
20,176
22,171
27,182
10,164
9,164
5,170
23,183
16,212
11,230
23,245
19,241
23,243
14,253
18,261
20,271
15,285
22,279
12,303
24,338
31,343
9,146
8,145
11,149
17,151
16,152
15,151
18,154
17,155
22,156
15,163
12,195
21,185
19,147
18,173
16,150
25,164
35,228
9,285
10,291
11,296
23,292
19,293
19,302
23,304
19,300
16,307
16,315
15,320
22,334
24,343
0,340
0,337
0,332
0,326
0,348
0,3
10,351
7,6
0,6
1,10
0,12
0,12
1,11
2,15
0,18
0,17
0,13
0,14
0,22
0,34
0,52
0,47
0,70
0,96
0,138
0,116
0,117
1,118
0,110
0,95
0,96
0,93
1,89
0,73
0,57
0,61
0,76
0,94
5,298
11,298
14,301
19,313
20,313
22,336
12,346
0,348
0,337
1,337
0,338
0,348
0,359
0,355
0,356
0,1
0,1
7,208
12,195
16,186
23,184
21,217
16,207
21,214
25,221
16,223
19,233
18,228
30,230
17,210
21,187
14,180
24,186
33,182
8,171
8,171
9,170
19,178
14,178
17,173
17,184
18,194
20,212
20,211
17,210
18,192
22,188
19,205
14,218
22,228
25,234
8,137
12,150
15,161
19,173
18,179
20,195
21,253
19,272
13,276
15,281
16,285
19,288
22,290
23,254
16,217
21,268
29,265
3,218
11,222
4,222
18,215
18,223
22,230
17,232
20,233
20,231
9,222
16,225
15,230
15,220
14,219
17,221
16,216
29,223
8,257
12,269
12,258
24,254
18,270
25,265
18,251
26,264
16,274
14,263
14,256
22,257
18,258
17,256
13,266
26,153
33,112
0,112
0,114
0,116
0,124
0,133
0,133
0,129
0,130
18,129
9,132
16,135
16,137
13,130
15,122
4,129
0,133
0,135
7,149
12,157
10,151
21,152
17,155
25,159
20,163
15,228
19,235
12,251
18,251
20,252
15,248
20,247
22,255
23,259
34,253
5,197
11,204
14,193
23,190
22,231
21,249
18,247
19,239
17,244
20,245
15,240
29,241
22,238
16,230
14,225
21,186
32,165
5,213
9,213
11,222
23,233
22,242
26,242
16,233
19,235
22,230
14,233
18,230
20,228
21,216
16,200
19,203
23,190
34,180
0,334
0,350
0,13
0,50
0,57
0,64
0,66
0,75
1,73
1,89
1,99
0,81
1,69
1,87
1,86
0,94
0,94
9,203
12,205
11,218
21,217
24,213
21,224
15,229
17,236
19,242
15,241
18,237
25,246
25,250
22,236
17,229
23,235
30,237
0,128
0,136
0,134
0,138
0,138
0,135
0,138
0,138
0,138
1,139
0,139
0,137
0,133
0,136
0,126
0,109
0,107
8,150
12,148
15,149
24,145
18,145
17,149
21,151
13,164
20,175
13,187
16,166
24,155
21,153
18,156
15,149
27,152
34,160
0,351
0,338
1,329
0,332
0,335
0,329
5,316
23,312
22,313
18,299
15,293
22,296
24,296
16,285
18,272
23,262
34,271
8,200
11,207
12,222
21,227
23,235
24,239
17,236
18,233
21,230
17,237
15,218
26,218
21,212
19,220
18,223
24,227
30,239
0,96
0,100
0,115
19,137
29,142
21,152
22,159
20,163
18,141
21,146
11,156
25,162
26,163
18,164
14,176
24,173
35,181
6,224
11,220
14,216
25,221
21,233
23,227
14,230
21,224
18,225
17,231
21,227
24,224
20,227
16,232
21,226
23,231
33,235
7,186
9,193
9,208
16,206
20,209
23,205
19,227
16,226
21,225
13,225
16,216
15,223
11,221
19,190
15,168
17,165
28,173
5,233
10,234
14,245
23,251
18,246
20,247
18,253
20,253
20,257
17,254
18,255
22,248
21,230
17,213
18,205
22,195
32,195
4,168
7,172
18,179
19,184
22,184
23,204
20,220
18,218
23,219
18,215
16,215
21,212
21,209
20,196
19,192
18,190
30,185
7,154
9,151
10,159
18,160
18,152
18,152
21,157
20,157
21,172
12,180
15,173
20,180
21,189
18,181
24,179
27,183
29,210
0,146
0,132
0,107
0,87
0,109
0,118
0,74
0,92
0,93
0,67
0,73
0,75
0,77
0,77
0,80
8,124
10,100
10,63
22,46
29,89
22,117
18,136
20,137
18,142
20,145
17,153
17,154
17,150
21,150
15,150
24,150
35,145
4,126
3,145
9,33
11,346
5,352
8,351
0,8
0,17
1,12
0,357
0,350
0,1
0,14
0,5
0,348
0,352
0,349
4,326
8,318
18,313
21,303
19,303
15,290
15,259
14,268
10,255
12,241
13,231
17,234
16,238
15,246
10,247
17,262
20,274
8,159
8,156
6,153
17,160
18,165
26,166
22,166
21,166
17,173
6,186
17,196
16,178
12,171
17,178
14,183
18,181
27,176
4,172
7,188
6,178
16,185
13,162
16,176
8,177
9,192
12,206
9,196
8,166
14,165
15,161
7,171
11,165
6,161
8,155
3,229
7,231
13,228
23,228
19,248
12,245
9,262
14,257
9,252
11,245
7,233
17,212
22,221
13,230
13,220
19,172
11,160
0,91
0,94
0,106
0,108
0,113
0,131
0,142
0,146
0,147
0,142
15,143
16,145
21,146
14,150
12,148
15,150
20,151
9,111
5,126
11,144
19,3
15,23
17,18
8,11
0,32
0,27
0,8
0,19
0,23
0,31
0,22
0,14
0,13
0,9
4,78
10,84
4,94
1,102
1,102
0,97
0,113
0,116
1,98
0,109
0,77
1,95
0,80
0,75
0,78
0,102
0,85
5,160
15,146
12,154
23,158
16,160
26,158
18,162
23,162
17,163
16,161
14,168
32,188
16,190
15,176
19,170
26,175
35,178
4,90
9,105
12,97
17,109
13,120
16,120
11,123
18,119
4,113
2,110
2,114
0,105
0,113
0,134
0,140
0,135
0,145
5,151
7,149
14,150
21,147
15,150
13,150
14,152
14,147
11,137
15,136
16,131
25,133
38,140
29,141
15,145
21,138
15,143
7,0
6,238
12,0
18,218
17,229
21,228
21,221
17,220
17,216
16,210
10,207
23,186
16,174
19,167
19,161
13,174
30,163
0,3
0,26
0,52
0,51
0,51
0,53
1,51
0,51
0,47
0,44
0,55
0,43
0,50
0,70
0,75
0,51
0,66
5,205
10,206
17,196
22,179
20,175
24,167
20,203
21,191
23,177
13,184
18,189
21,197
22,187
19,163
19,158
29,162
33,170
8,173
10,172
14,173
20,174
20,173
19,214
23,219
18,199
15,219
15,205
21,212
23,186
23,136
19,133
16,102
20,59
26,59
6,164
4,163
12,171
17,162
18,166
20,171
20,169
22,187
16,201
9,210
19,196
9,189
14,171
18,168
15,184
16,167
26,196
9,173
11,167
14,120
20,130
18,230
24,251
18,277
21,268
14,245
20,260
16,247
27,277
25,240
22,226
17,237
22,226
31,240
9,187
12,194
15,203
17,198
24,184
28,216
20,220
21,214
15,211
17,207
19,190
29,166
20,166
15,157
21,163
24,165
28,166
0,121
0,125
0,137
0,134
0,117
1,147
0,139
0,24
1,38
0,38
0,51
0,33
0,39
0,63
0,83
0,96
0,90
4,150
9,155
15,152
21,164
16,161
14,156
13,148
13,144
14,145
12,148
18,147
17,146
16,151
12,150
13,153
22,152
13,148
5,141
11,162
10,153
23,170
23,177
26,204
18,207
20,216
15,198
21,205
13,200
27,189
17,184
18,179
18,174
25,172
33,173
7,149
4,178
9,155
13,153
6,167
13,166
12,166
13,151
12,142
13,166
11,157
22,159
13,143
12,134
7,153
22,154
16,147
10,313
8,306
12,265
13,286
11,308
15,292
17,290
20,295
9,302
14,293
14,284
17,260
18,262
21,248
15,267
21,307
26,259
8,167
10,164
14,166
22,162
22,162
21,172
17,209
22,222
21,234
15,236
22,232
19,219
18,194
22,181
15,174
19,170
28,168
0,34
0,62
0,29
0,65
0,88
0,112
0,129
10,130
6,143
6,140
28,129
19,102
18,125
15,134
25,144
35,148
4,153
10,153
11,160
18,161
15,156
15,157
11,154
10,158
10,149
10,161
9,154
17,155
20,153
13,152
13,153
16,150
13,149
5,215
8,220
2,228
21,208
12,225
15,215
7,212
14,216
9,208
12,190
9,205
15,208
11,189
18,198
11,199
7,180
11,178
6,243
11,218
16,171
23,190
17,192
17,204
14,343
16,329
17,350
14,333
15,4
20,10
17,343
18,23
12,10
20,338
20,28
3,151
5,153
8,151
23,151
13,154
12,152
11,150
17,151
8,151
15,150
10,149
16,154
16,162
16,154
7,158
22,162
13,152
5,209
9,195
11,188
22,181
17,187
11,193
10,199
16,226
8,252
11,269
11,206
19,266
18,259
15,201
15,232
19,220
14,239
7,167
8,147
10,182
14,153
7,149
12,151
15,158
14,132
10,136
14,137
9,163
19,158
16,150
18,163
13,202
17,208
26,215
5,154
9,161
8,166
23,166
18,170
11,172
9,185
15,192
13,181
14,174
14,172
18,165
18,168
17,186
12,185
20,186
15,195
3,198
7,193
11,173
24,180
15,195
13,220
11,230
14,228
14,220
13,213
10,203
20,177
20,163
20,162
11,162
24,156
12,155
4,150
5,144
8,143
18,138
16,146
13,136
13,161
14,170
14,170
10,190
13,231
18,220
15,219
13,216
9,209
18,200
16,197
2,149
5,143
9,148
18,141
13,165
16,169
10,160
14,152
13,199
13,305
14,326
13,360
16,335
18,272
8,257
21,260
14,257
5,192
6,198
8,223
14,210
12,233
16,234
9,216
10,231
7,237
12,227
8,229
12,175
17,223
6,197
9,194
10,166
8,159
6,222
8,205
14,167
23,189
18,155
16,151
16,196
14,185
12,170
13,226
16,166
18,203
15,188
15,156
13,165
18,161
19,165
3,168
10,196
12,188
23,165
17,176
11,175
11,204
15,212
9,211
10,215
10,191
17,198
20,178
15,183
12,179
19,170
11,180
4,270
10,263
11,261
